"LatestDataTable" "ResourceID" "Subject" "Title" "Description" "Notes" "Caveats" "Source" "SourceURL" "Frequency" "Var1" "Var2" "Var3" "Var4" "Var5" "Var6"
"1" "" "CPACT6" "Activity" "Fuel supply volumes" "Z Energy monthly fuel supply volumes" NA NA "Z Energy" "https://www.nzx.com/companies/ZEL/announcements" "Monthly" "Fuel type" NA NA NA NA NA
"ResourceID" "Geo" "GeoUnit" "Duration" "Period" "Label1" "Label2" "Label3" "Label4" "Label5" "Label6" "Value" "Unit" "Measure" "NullReason" "Multiplier" "Status"
"43" "CPACT6" NA NA "P7D" 2020-09-30 NA NA NA NA NA NA 22.032 "Litres" "Fuel supply volumes" NA "0" NA
"44" "CPACT6" NA NA "P7D" 2020-10-31 NA NA NA NA NA NA 26.246 "Litres" "Fuel supply volumes" NA "0" NA
"45" "CPACT6" NA NA "P7D" 2020-11-30 NA NA NA NA NA NA 24.463 "Litres" "Fuel supply volumes" NA "0" NA
"46" "CPACT6" NA NA "P7D" 2020-12-31 NA NA NA NA NA NA 26.891 "Litres" "Fuel supply volumes" NA "0" NA
"47" "CPACT6" NA NA "P7D" 2021-01-01 NA NA NA NA NA NA 26.616 "Litres" "Fuel supply volumes" NA "0" NA
"48" "CPACT6" NA NA "P7D" 2021-02-01 NA NA NA NA NA NA 23.643 "Litres" "Fuel supply volumes" NA "0" NA
"49" "CPACT6" NA NA "P7D" 2020-07-31 NA NA NA NA NA NA 2.133 "Litres" "Fuel supply volumes" NA "0" NA
"50" "CPACT6" NA NA "P7D" 2020-08-31 NA NA NA NA NA NA 3.439 "Litres" "Fuel supply volumes" NA "0" NA
"51" "CPACT6" NA NA "P7D" 2020-09-30 NA NA NA NA NA NA 1.476 "Litres" "Fuel supply volumes" NA "0" NA
"52" "CPACT6" NA NA "P7D" 2020-10-31 NA NA NA NA NA NA 1.584 "Litres" "Fuel supply volumes" NA "0" NA
"53" "CPACT6" NA NA "P7D" 2020-11-30 NA NA NA NA NA NA 1.231 "Litres" "Fuel supply volumes" NA "0" NA
"54" "CPACT6" NA NA "P7D" 2020-12-31 NA NA NA NA NA NA 0.684 "Litres" "Fuel supply volumes" NA "0" NA
"55" "CPACT6" NA NA "P7D" 2021-01-01 NA NA NA NA NA NA 0.355 "Litres" "Fuel supply volumes" NA "0" NA
"56" "CPACT6" NA NA "P7D" 2021-02-01 NA NA NA NA NA NA 1.5 "Litres" "Fuel supply volumes" NA "0" NA
"57" "CPACT6" NA NA "P7D" 2020-07-31 NA NA NA NA NA NA 7.535 "Litres" "Fuel supply volumes" NA "0" NA
"58" "CPACT6" NA NA "P7D" 2020-08-31 NA NA NA NA NA NA 4.367 "Litres" "Fuel supply volumes" NA "0" NA
"59" "CPACT6" NA NA "P7D" 2020-09-30 NA NA NA NA NA NA 8.914 "Litres" "Fuel supply volumes" NA "0" NA
"60" "CPACT6" NA NA "P7D" 2020-10-31 NA NA NA NA NA NA 13.994 "Litres" "Fuel supply volumes" NA "0" NA
"61" "CPACT6" NA NA "P7D" 2020-11-30 NA NA NA NA NA NA 14.491 "Litres" "Fuel supply volumes" NA "0" NA
"62" "CPACT6" NA NA "P7D" 2020-12-31 NA NA NA NA NA NA 10.098 "Litres" "Fuel supply volumes" NA "0" NA
"63" "CPACT6" NA NA "P7D" 2021-01-01 NA NA NA NA NA NA 8.245 "Litres" "Fuel supply volumes" NA "0" NA
"64" "CPACT6" NA NA "P7D" 2021-02-01 NA NA NA NA NA NA 19.142 "Litres" "Fuel supply volumes" NA "0" NA
"65" "CPACT6" NA NA "P7D" 2020-07-31 NA NA NA NA NA NA 1.191 "Litres" "Fuel supply volumes" NA "0" NA
"66" "CPACT6" NA NA "P7D" 2020-08-31 NA NA NA NA NA NA 1.351 "Litres" "Fuel supply volumes" NA "0" NA
"67" "CPACT6" NA NA "P7D" 2020-09-30 NA NA NA NA NA NA 1.56 "Litres" "Fuel supply volumes" NA "0" NA
"68" "CPACT6" NA NA "P7D" 2020-10-31 NA NA NA NA NA NA 1.615 "Litres" "Fuel supply volumes" NA "0" NA
"69" "CPACT6" NA NA "P7D" 2020-11-30 NA NA NA NA NA NA 1.783 "Litres" "Fuel supply volumes" NA "0" NA
"70" "CPACT6" NA NA "P7D" 2020-12-31 NA NA NA NA NA NA 1.755 "Litres" "Fuel supply volumes" NA "0" NA
"71" "CPACT6" NA NA "P7D" 2021-01-01 NA NA NA NA NA NA 1.57 "Litres" "Fuel supply volumes" NA "0" NA
"72" "CPACT6" NA NA "P7D" 2021-02-01 NA NA NA NA NA NA 1.511 "Litres" "Fuel supply volumes" NA "0" NA
"LatestDataTable" "ResourceID" "Subject" "Title" "Description" "Notes" "Caveats" "Source" "SourceURL" "Frequency" "Var1" "Var2" "Var3" "Var4" "Var5" "Var6"
"1" "" "CPCON1" "Confidence" "Economic sentiment" "Weekly economic sentiment" NA NA "gdeltproject & C. Ball" "https://www.gdeltproject.org/" "Weekly" NA NA NA NA NA NA
